ncIdentifier,prIdentifier,interaction
n384484,P35637,0
n406134,Q9HCJ0,0
n379841,Q9HCK5,0
n386194,O43251,0
n410806,Q01844,0
n344453,P26599,0
n383550,Q9NZI8,0
n384212,P31483,0
n381280,Q9UPQ9,0
n346272,B7ZL34,0
n387140,Q96PU8,0
n345904,Q86X94,0
n386655,Q96PU8,0
n344775,Q86X94,0
n406992,Q13285,0
n376215,Q9H9G7,0
n363356,Q9HCJ0,0
n345912,Q15717,0
n345437,O43251,0
n384320,Q9HCE1,0
n379107,Q13285,0
n410188,Q9UKV8,0
n371225,B7ZL34,0
n385951,Q9H9G7,0
n344995,Q9UKV8,0
n344478,Q86X94,0
n384484,P26599,0
n405614,Q13285,0
n368394,Q9HCK5,0
n380177,Q9H9G7,0
n381557,Q9UKV8,0
n385727,Q9HCE1,0
n381585,Q9UL18,0
n381071,Q13285,0
n367651,O43251,0
n344943,B7ZL34,0
n406883,Q9UPQ9,0
n405438,P35637,0
n345091,B7ZL34,0
n378313,Q9NZI8,0
n408353,Q9H9G7,0
n385102,Q49AS9,0
n384227,Q6PJX3,0
n407311,Q9NZI8,0
n409143,B7ZL34,0
n378866,Q9HCE1,0
n410462,P26599,0
n375063,B7ZL34,0
n409180,Q13148,0
n384703,P31483,0
n385725,Q9UKV8,0
n346523,Q9HCJ0,0
n345221,P35637,0
n384496,Q9UL18,0
n346101,P35637,0
n387393,O00425,0
n381270,B7ZL34,0
n377665,P26599,0
n371524,Q9H9G7,0
n381022,Q9HCK5,0
n381022,B7ZL34,0
n381022,P31483,0
n384996,Q13148,0
n383327,Q9Y6M1,0
n346373,Q15717,0
n344652,Q9UL18,0
n344488,Q13285,0
n376203,B7ZL34,0
n344658,Q13285,0
n346033,Q49AS9,0
n346494,O43251,0
n380184,Q96PU8,0
n385204,Q15717,0
n344552,Q9UPQ9,0
n384393,Q13285,0
n405566,Q13285,0
n385468,Q9Y6M1,0
n385059,Q96PU8,0
n344778,O00425,0
n385792,Q9UL18,0
n405576,Q9HCJ0,0
n385274,Q9UPQ9,0
n370923,Q9H9G7,0
n410167,Q9HCE1,0
n368397,Q9HCK5,0
n380399,Q13148,0
n380399,Q96PU8,0
n380399,Q8NDV7,0
n380399,Q9Y6M1,0
n378317,Q9UL18,0
n372674,Q9UKV8,0
n363484,Q96PU8,0
n385849,Q8NDV7,0
n385631,Q8NDV7,0
n385256,P31483,0
n372403,P26599,0
n405979,Q9HCK5,0
n384121,Q07955,0
n344662,O00425,0
n384858,Q49AS9,0
n387674,Q01844,0
n383314,Q9NZI8,0
n345395,Q9HCJ0,0
n345222,O43251,0
n345781,Q9H9G7,0
n346398,P26599,0
n384112,Q9NZI8,0
n406127,Q86X94,0
n344778,Q9UL18,0
n344778,Q9Y6M1,0
n344778,O43251,0
n344778,Q13148,0
n365920,Q9NZI8,0
n382060,Q9NZI8,0
n345852,Q9UKV8,0
n382009,Q01844,0
n375477,Q9H9G7,0
n378352,B7ZL34,0
n382511,Q13285,0
n344628,O43251,0
n386512,Q9NZI8,0
n346392,Q9Y6M1,0
n379717,Q07955,0
n344687,Q9UL18,0
n386362,Q9HCE1,0
n381623,Q9HCK5,0
n405477,Q49AS9,0
n384422,Q9HCE1,0
n345232,Q13148,0
n371552,Q9HCK5,0
n365451,Q9Y6M1,0
n345156,Q15717,0
n405558,Q9H9G7,0
n377834,Q49AS9,0
n377834,P31483,0
n377834,O43251,0
n377834,P26599,0
n376473,Q9HCJ0,0
n381623,O43251,0
n381912,Q9HCK5,0
n382495,Q9UPQ9,0
n382687,Q9NZI8,0
n409183,Q13285,0
n375968,O43251,0
n387722,Q6PJX3,0
n376189,Q9HCJ0,0
n383693,Q9H9G7,0
n371938,Q49AS9,0
n364685,Q13285,0
n366290,Q9H9G7,0
n345686,Q9HCJ0,0
n345799,O00425,0
n407992,P35637,0
n377717,B7ZL34,0
n378107,Q9UPQ9,0
n382220,Q9HCE1,0
n385187,Q9H9G7,0
n409152,Q15717,0
n405504,Q9UPQ9,0
n373788,Q86X94,0
n345694,B7ZL34,0
n405755,Q8NDV7,0
n409190,Q9HCK5,0
n380543,Q9HCE1,0
n379167,O43251,0
n379167,Q8NDV7,0
n379167,Q13148,0
n379167,Q01844,0
n369995,Q9Y6M1,0
n345437,O00425,0
n387060,Q13285,0
n345506,Q9NZI8,0
n346188,P31483,0
n346101,P26599,0
n387476,Q9UL18,0
n410523,P31483,0
n346066,Q49AS9,0
n385185,Q8NDV7,0
n407073,Q8NDV7,0
n385229,Q9UL18,0
n344687,Q13148,0
n409625,Q9UPQ9,0
n409625,B7ZL34,0
n409625,Q13148,0
n409625,Q96PU8,0
n344457,P35637,0
n408342,B7ZL34,0
n345612,Q9UL18,0
n405484,Q86X94,0
n382511,Q9UPQ9,0
n382511,Q6PJX3,0
n382511,Q86X94,0
n382511,P31483,0
n385145,Q6PJX3,0
n345175,P31483,0
n379167,P26599,0
n407337,Q86X94,0
n406964,Q01844,0
n381381,Q9HCJ0,0
n383639,P31483,0
n365664,Q9UPQ9,0
n383057,B7ZL34,0
n346205,Q01844,0
n386353,Q13148,0
n382231,Q8NDV7,0
n409683,Q07955,0
n384625,Q9UL18,0
n364269,Q9UL18,0
n382276,Q9HCK5,0
n375318,P26599,0
n384936,Q13148,0
n345437,Q15717,0
n345138,Q9HCE1,0
n406409,P35637,0
n406409,Q8NDV7,0
n406409,Q13285,0
n406409,Q9UPQ9,0
n346126,Q9NZI8,0
n386770,Q07955,0
n381557,P31483,0
n381912,Q9UKV8,0
n385730,Q13285,0
n379622,Q01844,0
n379466,Q9HCJ0,0
n382328,Q86X94,0
n345417,Q9H9G7,0
n344741,B7ZL34,0
n408055,Q9UPQ9,0
n377672,P26599,0
n375243,Q9UPQ9,0
n345807,Q01844,0
n384624,Q86X94,0
n345249,Q49AS9,0
n410152,P31483,0
n407669,Q49AS9,0
n387722,Q6PJX3,0
n370618,Q49AS9,0
n345457,Q86X94,0
n344758,O00425,0
n346398,Q9UPQ9,0
n344687,Q6PJX3,0
n383234,Q9UKV8,0
n386577,Q9UKV8,0
n382037,O00425,0
n382989,Q9UKV8,0
n387063,Q9UKV8,0
n408277,Q9HCJ0,0
n344652,P31483,0
n387010,Q15717,0
n345839,Q13285,0
n345527,Q01844,0
n385688,Q07955,0
n385139,Q9UL18,0
n344778,Q96PU8,0
n387060,P26599,0
n381878,Q96PU8,0
n407050,O43251,0
n346533,Q9HCK5,0
n407761,Q01844,0
n367182,Q9UL18,0
n407887,Q9Y6M1,0
n378567,P31483,0
n380900,Q9NZI8,0
n345139,Q9UKV8,0
n346404,Q96PU8,0
n346398,Q9HCJ0,0
n381557,Q86X94,0
n344871,Q8NDV7,0
n385467,Q86X94,0
n384290,Q9UKV8,0
n386118,Q9HCE1,0
n382131,Q9HCK5,0
n376189,O00425,0
n379466,O43251,0
n346349,Q15717,0
n407550,Q13285,0
n384353,B7ZL34,0
n377788,Q8NDV7,0
n382487,O43251,0
n345437,O43251,0
n376314,Q13148,0
n381409,Q6PJX3,0
n345653,Q9HCK5,0
n344709,Q13285,0
n410042,Q9UPQ9,0
n344798,P31483,0
n384209,Q8NDV7,0
n384209,Q86X94,0
n386362,P26599,0
n368164,O00425,0
n346510,Q9HCE1,0
n380064,Q9NZI8,0
n410143,Q9HCJ0,0
n386770,Q86X94,0
n384770,P26599,0
n381885,Q6PJX3,0
n345117,Q9UKV8,0
n344578,Q49AS9,0
n385223,Q96PU8,0
n381833,Q9HCK5,0
n346137,Q9Y6M1,0
n384140,Q01844,0
n384212,Q9UPQ9,0
n375703,Q9H9G7,0
n385787,P31483,0
n385102,Q9Y6M1,0
n384210,Q13148,0
n384496,B7ZL34,0
n385468,Q9UPQ9,0
n410070,Q01844,0
n381351,Q9UPQ9,0
n385812,Q9UL18,0
n344996,P35637,0
n345781,Q8NDV7,0
n371301,Q6PJX3,0
n371301,Q96PU8,0
n371301,Q9HCJ0,0
n371301,O43251,0
n377660,Q9UPQ9,0
n380175,Q9Y6M1,0
n384536,P35637,0
n344848,O43251,0
n344664,Q9H9G7,0
n385951,Q13285,0
n377827,Q13148,0
n344793,Q9HCE1,0
n345222,Q96PU8,0
n381280,Q8NDV7,0
n374027,B7ZL34,0
n387718,Q49AS9,0
n371665,P26599,0
n344659,P35637,0
n407534,Q49AS9,0
n406883,Q96PU8,0
n382989,Q9UL18,0
n382687,Q9HCK5,0
n385725,Q01844,0
n379212,Q86X94,0
n379212,Q9Y6M1,0
n379212,Q9UL18,0
n375522,Q6PJX3,0
n384720,O43251,0
n407721,Q9UPQ9,0
n345433,Q9HCE1,0
n384210,Q9H9G7,0
n344939,Q15717,0
n381557,O43251,0
n384353,Q9UKV8,0
n410108,P26599,0
n381280,Q9UKV8,0
n386343,Q86X94,0
n383794,Q8NDV7,0
n345807,P35637,0
n344860,Q9UL18,0
n383211,Q9Y6M1,0
n410199,P35637,0
n381793,Q49AS9,0
n376398,Q6PJX3,0
n411694,O00425,0
n344793,Q9UKV8,0
n384393,Q6PJX3,0
n386524,B7ZL34,0
n409672,Q13285,0
n363381,Q9Y6M1,0
n381417,Q13285,0
n346537,Q9HCJ0,0
n346537,Q13285,0
n346537,Q86X94,0
n346537,P35637,0
n345668,Q07955,0
n410523,Q13285,0
n384073,Q01844,0
n376590,Q13285,0
n376473,Q9UL18,0
n367143,Q9UPQ9,0
n344800,Q96PU8,0
n381417,Q9HCE1,0
n344868,Q9HCE1,0
n345981,Q96PU8,0
n377651,P31483,0
n344748,Q9HCK5,0
n365972,Q13148,0
n346167,Q9UL18,0
n363904,O43251,0
n382312,Q9UPQ9,0
n386108,Q13148,0
n344664,Q9Y6M1,0
n407311,O43251,0
n346137,Q13148,0
n407114,P26599,0
n407114,Q49AS9,0
n407114,Q86X94,0
n407114,Q9NZI8,0
n345185,Q9UKV8,0
n345516,Q6PJX3,0
n379095,Q07955,0
n370090,Q9HCK5,0
n381585,O00425,0
n407573,P35637,0
n378108,Q15717,0
n346426,Q49AS9,0
n378068,Q15717,0
n346528,P35637,0
n385902,Q13148,0
n367049,Q9NZI8,0
n384200,Q9HCE1,0
n382060,Q9HCE1,0
n385274,Q49AS9,0
n344814,B7ZL34,0
n373943,Q8NDV7,0
n377818,B7ZL34,0
n379360,P35637,0
n387397,Q01844,0
n407466,O00425,0
n406336,Q13285,0
n407210,Q13148,0
n378567,B7ZL34,0
n379406,Q01844,0
n380677,O43251,0
n406144,B7ZL34,0
n410143,Q6PJX3,0
n410453,Q01844,0
n410885,Q49AS9,0
n379114,Q86X94,0
n384573,O00425,0
n384573,B7ZL34,0
n384573,Q13285,0
n384573,O43251,0
n372953,Q13285,0
n378353,Q9UL18,0
n387722,Q9HCJ0,0
n386179,Q9UPQ9,0
n345185,P31483,0
n376473,O43251,0
n383019,Q96PU8,0
n410161,P31483,0
n368624,Q13148,0
n383509,Q6PJX3,0
n384395,Q9HCK5,0
n406134,O43251,0
n385685,Q49AS9,0
n407114,Q07955,0
n378414,Q9UKV8,0
n344814,Q13285,0
n383747,Q9HCK5,0
n378603,Q9H9G7,0
n345977,Q86X94,0
n407520,Q6PJX3,0
n384227,Q9HCJ0,0
n377684,Q15717,0
n409540,Q13285,0
n380693,Q07955,0
n363945,Q9UPQ9,0
n407062,Q49AS9,0
n378068,O43251,0
n378068,Q01844,0
n378068,Q13285,0
n386063,Q9NZI8,0
n381011,Q9H9G7,0
n377912,Q13148,0
n346311,O00425,0
n383805,Q8NDV7,0
n373563,B7ZL34,0
n384228,Q9UPQ9,0
n344748,B7ZL34,0
n368267,Q9Y6M1,0
n376590,Q9NZI8,0
n345670,P26599,0
n369876,Q13285,0
n386735,Q8NDV7,0
n345139,Q6PJX3,0
n385707,Q07955,0
n368044,Q9HCJ0,0
n384320,Q9UL18,0
n384624,Q9HCJ0,0
n385468,Q86X94,0
n407937,Q9UKV8,0
n379630,P31483,0
n378567,Q07955,0
n384754,P31483,0
n345935,Q86X94,0
n346533,Q9H9G7,0
n365866,Q9NZI8,0
n344462,Q9UKV8,0
n344601,Q9HCK5,0
n384480,Q86X94,0
n377834,Q01844,0
n385727,Q07955,0
n386315,Q96PU8,0
n375857,Q9UL18,0
n378108,Q13285,0
n346396,Q9Y6M1,0
n386391,Q9HCE1,0
n379395,Q07955,0
n345182,Q9H9G7,0
n407659,Q13285,0
n346167,Q13148,0
n379114,Q6PJX3,0
n345168,Q9Y6M1,0
n410722,P31483,0
n374534,Q01844,0
n409149,P26599,0
n406914,Q9HCJ0,0
n345742,Q49AS9,0
n376049,O00425,0
n378108,Q9HCK5,0
n386343,P26599,0
n345746,Q9Y6M1,0
n381942,Q9UL18,0
n381912,Q8NDV7,0
n406422,Q13285,0
n378273,Q9HCE1,0
n382015,Q8NDV7,0
n345765,Q9Y6M1,0
n386100,Q96PU8,0
n381557,Q13148,0
n406900,Q8NDV7,0
n406900,Q9HCE1,0
n406900,Q49AS9,0
n406900,Q9Y6M1,0
n378555,Q9H9G7,0
n379792,Q13148,0
n344736,Q9UPQ9,0
n346537,Q13148,0
n370423,Q13285,0
n345630,Q15717,0
n381430,O43251,0
n376985,Q9HCK5,0
n409618,Q49AS9,0
n384684,Q13148,0
n381444,Q9H9G7,0
n379244,Q9HCK5,0
n370574,P26599,0
n344547,Q9HCJ0,0
n344659,P35637,0
n382184,Q01844,0
n381409,Q9UPQ9,0
n387393,Q9UPQ9,0
n409540,Q9UPQ9,0
n367422,Q9H9G7,0
n377916,P31483,0
n346196,O00425,0
n378002,Q9H9G7,0
n367646,Q01844,0
n344610,Q6PJX3,0
n346383,Q9Y6M1,0
n344971,Q9H9G7,0
n371665,Q8NDV7,0
n369487,Q13285,0
n406480,P26599,0
n383025,Q13148,0
n371761,O43251,0
n382231,Q49AS9,0
n382231,Q9UPQ9,0
n382231,Q9HCJ0,0
n382231,B7ZL34,0
n345433,Q13148,0
n385569,Q9UKV8,0
n382702,Q9UL18,0
n409179,Q86X94,0
n377683,Q13148,0
n377284,Q9HCE1,0
n369512,Q9HCJ0,0
n344530,Q01844,0
n379781,B7ZL34,0
n372205,Q8NDV7,0
n383077,Q9UPQ9,0
n376433,O43251,0
n384228,Q9UKV8,0
n345207,O43251,0
n345777,Q01844,0
n376424,Q9Y6M1,0
n410523,Q9HCJ0,0
n381430,Q96PU8,0
n374798,Q9H9G7,0
n344807,Q9NZI8,0
n344996,Q9UPQ9,0
n379177,P35637,0
n387026,Q8NDV7,0
n387634,Q9HCJ0,0
n405705,Q86X94,0
n407992,Q07955,0
n385729,Q9HCE1,0
n384285,Q01844,0
n345032,Q9HCK5,0
n345501,Q8NDV7,0
n363847,B7ZL34,0
n410799,O43251,0
n383218,Q8NDV7,0
n363484,Q13285,0
n345185,Q86X94,0
n387531,Q96PU8,0
n372993,Q9HCE1,0
n372993,P26599,0
n372993,O43251,0
n372993,Q86X94,0
n344800,O43251,0
n387437,Q9HCE1,0
n345101,Q6PJX3,0
n386179,Q8NDV7,0
n387060,Q8NDV7,0
n385801,Q07955,0
n346296,Q9HCE1,0
n405569,Q13285,0
n344547,Q9UPQ9,0
n387266,Q9UL18,0
n344980,B7ZL34,0
n376985,Q8NDV7,0
n377827,Q9HCE1,0
n368267,Q86X94,0
n344986,Q9UPQ9,0
n344871,Q6PJX3,0
n409674,Q6PJX3,0
n370423,Q9HCJ0,0
n379110,Q9HCE1,0
n345746,O43251,0
n345455,Q13148,0
n346477,Q96PU8,0
n408075,Q13148,0
n346472,Q9HCE1,0
n382131,P31483,0
n380100,Q9HCJ0,0
n383019,Q49AS9,0
n384480,P31483,0
n372291,Q9HCJ0,0
n379459,P26599,0
n381076,Q6PJX3,0
n345117,Q8NDV7,0
n344651,Q8NDV7,0
n386343,Q6PJX3,0
n408020,Q96PU8,0
n344798,Q9H9G7,0
n383747,O00425,0
n377295,Q6PJX3,0
n409180,Q9UPQ9,0
n345455,Q86X94,0
n346128,Q13285,0
n344741,P26599,0
n345618,Q9UKV8,0
n346236,Q49AS9,0
n385188,Q9NZI8,0
n385188,Q9HCE1,0
n385188,Q96PU8,0
n406346,Q6PJX3,0
n345373,Q9HCK5,0
n384430,Q6PJX3,0
n385468,Q9NZI8,0
n372815,P26599,0
n344957,Q9NZI8,0
n406246,Q9HCK5,0
n371241,Q9HCE1,0
n345721,Q9UL18,0
n345139,Q15717,0
n378090,Q9HCJ0,0
n386655,Q9UKV8,0
n410153,Q13148,0
n344530,O43251,0
n407434,Q9HCK5,0
n345653,Q9UKV8,0
n366704,P26599,0
n344814,Q9HCE1,0
n344975,Q49AS9,0
n344778,Q07955,0
n372815,Q9UL18,0
n344535,Q01844,0
n344601,Q13148,0
n382440,Q9NZI8,0
n385729,P26599,0
n385729,Q9H9G7,0
n385729,Q9Y6M1,0
n387063,O43251,0
n372953,P31483,0
n407071,Q9HCK5,0
n345077,O43251,0
n377827,Q86X94,0
n377827,P31483,0
n377827,O43251,0
n377827,P35637,0
n344618,Q07955,0
n376985,O43251,0
n345298,B7ZL34,0
n408131,Q01844,0
n383509,Q9HCJ0,0
n382231,Q07955,0
n344748,Q9Y6M1,0
n370585,Q9UL18,0
n382131,Q9H9G7,0
n379717,Q9NZI8,0
n384643,B7ZL34,0
n344814,Q96PU8,0
n385725,Q9HCJ0,0
n375266,Q6PJX3,0
n385140,Q8NDV7,0
n379676,Q9UKV8,0
n375457,Q9Y6M1,0
n378108,Q9NZI8,0
n409406,Q9UPQ9,0
n378714,B7ZL34,0
n405671,Q6PJX3,0
n385951,Q13148,0
n384480,Q49AS9,0
n411020,Q49AS9,0
n407685,Q6PJX3,0
n345879,Q6PJX3,0
n381011,Q9UL18,0
n409672,Q07955,0
n409672,Q9HCE1,0
n409672,Q9HCJ0,0
n409672,O43251,0
n344691,Q13148,0
n345088,O00425,0
n410462,Q07955,0
n377639,P35637,0
n410722,Q01844,0
n346532,Q86X94,0
n344574,Q9UPQ9,0
n374520,Q07955,0
n411719,P31483,0
n387719,B7ZL34,0
n344805,Q01844,0
n381443,Q15717,0
n408116,Q07955,0
n384927,Q07955,0
n385511,B7ZL34,0
n383179,O00425,0
n383551,Q9UPQ9,0
n344875,Q8NDV7,0
n344960,Q9UKV8,0
n386362,O43251,0
n375802,B7ZL34,0
n345373,Q9UPQ9,0
n345161,Q49AS9,0
n377766,Q49AS9,0
n387393,P35637,0
n345457,Q8NDV7,0
n385425,Q13148,0
n407383,Q9Y6M1,0
n407383,Q49AS9,0
n407383,Q13285,0
n407383,O43251,0
n381419,Q9H9G7,0
n385725,Q01844,0
n382181,Q9HCE1,0
n381272,O43251,0
n344986,O43251,0
n378107,Q9HCJ0,0
n383026,P31483,0
n372578,Q01844,0
n384573,Q15717,0
n381970,Q07955,0
n410026,Q49AS9,0
n385273,Q9HCE1,0
n409170,Q15717,0
n371141,P31483,0
n411623,P31483,0
n344604,O00425,0
n409540,P26599,0
n368098,P35637,0
n345934,Q01844,0
n409159,Q86X94,0
n363537,Q96PU8,0
n346189,P26599,0
n382350,Q9NZI8,0
n407775,B7ZL34,0
n385730,P31483,0
n380158,O43251,0
n345648,Q8NDV7,0
n384684,Q9HCE1,0
n385730,P26599,0
n367662,Q9UL18,0
n379593,O43251,0
n386641,Q9HCE1,0
n381280,Q6PJX3,0
n369735,Q8NDV7,0
n377834,Q6PJX3,0
n375399,Q15717,0
n381057,Q13148,0
n345465,Q86X94,0
n385202,Q9H9G7,0
n384996,O43251,0
n376477,Q86X94,0
n409709,O43251,0
n344530,Q8NDV7,0
n344814,Q01844,0
n380413,P35637,0
n346545,Q9H9G7,0
n379586,Q9NZI8,0
n407311,Q9UKV8,0
n367417,Q13285,0
n385835,Q13148,0
n345357,Q9UL18,0
n409683,P35637,0
n378866,P31483,0
n384770,Q9UKV8,0
n344778,Q9HCK5,0
n410038,Q9Y6M1,0
n345502,Q13285,0
n345468,Q01844,0
n385730,Q9H9G7,0
n345765,P35637,0
n384227,Q9UPQ9,0
n374530,Q01844,0
n381057,Q9UL18,0
n384754,Q6PJX3,0
n344745,B7ZL34,0
n344745,P26599,0
n344745,Q49AS9,0
n386856,Q9H9G7,0
n344621,P26599,0
n386592,Q07955,0
n386592,Q13285,0
n386592,P35637,0
n386592,O43251,0
n409683,Q9HCK5,0
n411680,Q9UKV8,0
n384996,Q07955,0
n345310,Q07955,0
n406117,P35637,0
n410191,B7ZL34,0
n410671,Q13148,0
n345014,O43251,0
n377669,Q9UKV8,0
n379717,Q9UL18,0
n345473,Q9UL18,0
n384656,Q13148,0
n378252,Q49AS9,0
n383233,Q13285,0
n374607,P35637,0
n384936,Q96PU8,0
n345885,Q86X94,0
n382328,B7ZL34,0
n379167,Q49AS9,0
n344709,Q13148,0
n345807,Q86X94,0
n387733,Q9HCK5,0
n378279,Q13148,0
n383986,Q9HCK5,0
n378726,Q9HCK5,0
n379821,Q9NZI8,0
n344691,Q9HCK5,0
n346533,Q96PU8,0
n381022,P35637,0
n383077,Q9HCK5,0
n370205,Q15717,0
n381568,Q9UL18,0
n383080,P26599,0
n346101,Q9HCJ0,0
n384215,Q49AS9,0
n405626,Q9Y6M1,0
n410170,Q9H9G7,0
n377680,Q9HCE1,0
n372080,B7ZL34,0
n382231,O43251,0
n375462,Q9H9G7,0
n378490,B7ZL34,0
n344598,P26599,0
n386682,Q13285,0
n385842,Q9UKV8,0
n410105,Q6PJX3,0
n379676,O43251,0
n409149,Q13148,0
n405453,Q15717,0
n386682,Q13285,0
n409672,Q9HCK5,0
n406422,P26599,0
n384321,Q9NZI8,0
n345045,Q9HCE1,0
n381568,Q01844,0
n373804,O43251,0
n366290,B7ZL34,0
n384927,Q9HCK5,0
n384754,Q9UKV8,0
n380806,P35637,0
n381839,Q6PJX3,0
n371672,Q9UPQ9,0
n375266,Q86X94,0
n410152,Q96PU8,0
n410152,Q9UPQ9,0
n410152,Q13148,0
n410152,Q8NDV7,0
n372533,Q9UKV8,0
n367775,Q9UPQ9,0
n345935,Q9HCE1,0
n410108,Q01844,0
n407669,Q13285,0
n385729,Q9UL18,0
n409559,Q9UL18,0
n408051,Q9UPQ9,0
n344814,Q9H9G7,0
n385727,Q9UPQ9,0
n386770,Q9UPQ9,0
n384140,Q13148,0
n408131,Q9HCE1,0
n382687,Q9UL18,0
n370930,Q86X94,0
n406409,P26599,0
n386209,Q9Y6M1,0
n387025,Q9Y6M1,0
n384742,P31483,0
n374607,Q9HCJ0,0
n378238,Q9NZI8,0
n372815,Q13148,0
n410638,Q07955,0
n386260,Q01844,0
n407046,P26599,0
n386524,Q9UKV8,0
n384209,Q07955,0
n408241,Q9HCJ0,0
n344559,Q49AS9,0
n378414,Q9HCE1,0
n408131,Q86X94,0
n385229,Q13285,0
n372953,Q13148,0
n372953,Q9HCK5,0
n372953,Q9H9G7,0
n345437,P26599,0
n410153,P26599,0
n387402,Q9HCE1,0
n410638,Q6PJX3,0
n383693,Q13285,0
n381078,Q6PJX3,0
n379406,Q9HCK5,0
n407707,Q9HCJ0,0
n386770,Q01844,0
n384754,Q13148,0
n381720,P35637,0
n406866,Q9UPQ9,0
n371241,Q8NDV7,0
n383693,Q9UL18,0
n407257,Q9UKV8,0
n371665,P35637,0
n345040,Q9UL18,0
n345457,P26599,0
n376049,Q9HCE1,0
n387397,B7ZL34,0
n387397,Q6PJX3,0
n387397,O43251,0
n387397,Q13285,0
n345971,Q9Y6M1,0
n371680,Q9HCE1,0
n386735,Q9HCJ0,0
n410153,Q86X94,0
n382000,Q9HCJ0,0
n382000,Q13148,0
n382000,Q15717,0
n382000,O43251,0
n345323,Q9Y6M1,0
n384430,B7ZL34,0
n344736,Q9Y6M1,0
n381958,P35637,0
n344860,Q49AS9,0
n385106,Q9Y6M1,0
n410523,Q6PJX3,0
n409179,Q13285,0
n409179,Q9UPQ9,0
n409179,Q9HCE1,0
n409179,Q01844,0
n370698,Q9H9G7,0
n381414,Q9UPQ9,0
n385730,Q9HCJ0,0
n383794,Q9HCK5,0
n345648,Q9HCJ0,0
n384228,Q8NDV7,0
n344588,P35637,0
n385106,Q9UL18,0
n410143,Q9UL18,0
n384430,Q86X94,0
n378252,P31483,0
n378252,Q6PJX3,0
n378252,Q86X94,0
n378252,Q9HCE1,0
n386353,Q9HCK5,0
n405566,Q9HCK5,0
n377923,Q13148,0
n345781,Q01844,0
n346481,Q9H9G7,0
n367651,Q9HCK5,0
n377577,Q96PU8,0
n381754,Q86X94,0
n407073,Q96PU8,0
n345304,Q13285,0
n385069,Q9Y6M1,0
n345405,Q9UKV8,0
n383025,Q01844,0
n407159,Q9Y6M1,0
n375478,Q9HCJ0,0
n375659,Q9HCJ0,0
n408119,Q9HCJ0,0
n346464,Q6PJX3,0
n384720,B7ZL34,0
n409548,Q9UPQ9,0
n379950,B7ZL34,0
n385318,Q9NZI8,0
n376473,P26599,0
n405993,B7ZL34,0
n386448,O43251,0
n384720,P26599,0
n381805,O43251,0
n371680,Q9HCK5,0
n346282,Q9H9G7,0
n407534,Q9HCE1,0
n344800,P26599,0
n344531,Q9UL18,0
n371814,Q15717,0
n411666,Q9H9G7,0
n374607,O00425,0
n374607,Q8NDV7,0
n374607,Q13285,0
n374607,Q9UPQ9,0
n346260,Q9HCK5,0
n367887,Q07955,0
n385727,Q9Y6M1,0
n407125,P35637,0
n384757,P35637,0
n345040,B7ZL34,0
n380031,Q07955,0
n405558,O00425,0
n344778,Q49AS9,0
n344778,Q15717,0
n344778,Q96PU8,0
n344610,Q49AS9,0
n386770,Q9H9G7,0
n384754,Q15717,0
n407027,Q9HCK5,0
n410161,Q07955,0
n369469,Q9UKV8,0
n386448,Q49AS9,0
n372080,Q07955,0
n405951,Q9UPQ9,0
n364842,Q9UKV8,0
n408119,P26599,0
n345751,Q96PU8,0
n409402,Q49AS9,0
n382918,Q9UL18,0
n365737,O43251,0
n409406,Q01844,0
n369955,P26599,0
n385511,Q13285,0
n344497,P35637,0
n383556,Q96PU8,0
n377766,Q6PJX3,0
n381878,Q6PJX3,0
n407573,Q9UPQ9,0
n407573,Q13148,0
n407573,Q9Y6M1,0
n407573,Q01844,0
n407311,B7ZL34,0
n344589,Q9Y6M1,0
n364511,Q9HCE1,0
n372336,Q9HCJ0,0
n372336,Q9UPQ9,0
n372336,Q49AS9,0
n372336,P35637,0
n344721,Q8NDV7,0
n381081,Q9NZI8,0
n381081,Q01844,0
n381081,O43251,0
n346094,Q15717,0
n405795,Q9UKV8,0
n385188,O00425,0
n385188,Q15717,0
n385188,Q13285,0
n385188,Q86X94,0
n381754,Q9UKV8,0
n406134,Q9UPQ9,0
n344691,P26599,0
n344695,P31483,0
n385274,Q13148,0
n369419,Q9HCJ0,0
n345281,Q9NZI8,0
n346200,Q13148,0
n346186,P26599,0
n377932,Q9HCE1,0
n405255,Q96PU8,0
n410638,Q96PU8,0
n410638,O43251,0
n410638,Q8NDV7,0
n410638,Q01844,0
n380175,Q9NZI8,0
n374487,Q9HCK5,0
n384643,Q9HCJ0,0
n363631,Q9UPQ9,0
n378567,Q9UKV8,0
n363690,Q49AS9,0
n344659,Q01844,0
n344659,Q9Y6M1,0
n344659,P35637,0
n410143,Q8NDV7,0
n407887,P31483,0
n383231,Q86X94,0
n384936,Q6PJX3,0
n387266,O43251,0
n344601,Q49AS9,0
n345423,Q13285,0
n385512,B7ZL34,0
n383994,P26599,0
n344678,Q9HCK5,0
n377932,Q07955,0
n344749,P35637,0
n383233,Q9UPQ9,0
n409529,B7ZL34,0
n378741,Q96PU8,0
n410638,P35637,0
n382330,Q01844,0
n410630,Q9HCE1,0
n379442,Q8NDV7,0
n385849,Q96PU8,0
n386231,P35637,0
n367519,P35637,0
n346081,Q9Y6M1,0
n368511,Q9Y6M1,0
n387010,Q6PJX3,0
n344960,P31483,0
n344814,Q6PJX3,0
n382083,O43251,0
